;Empty = 'any type' Intentionally blank!,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;Notes: Ordering of items in the table is significant!,,,,,,,,,,,,,,,,,
;All handlers for an operation must be listed consecutively,,,,,,,,,,,,,,,,,
;Immediate locations (Param type i) must be listed before register locations,,,,,,,,,,,,,,,,,
;Smaller types must be listed before larger types,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,,,,,,Procedures,,Register options available,,,,,Special validations on type conversion,,,,
;,Name ,OpType,FirstParamType,DestType,Validation,Exec,Flags,Param1,Param2,Dest,Corrupts,Validate,s8,u8,s16,u16,Notes
;,Misc   ,,,,,,,,,,,,,,,,
,unknown,,,,x,error   ,,,,none,,,,,,,Raises an error if encountered by the code generator
,move,,,,x,empty   ,,a;b;c;d;e;h;l;bc;de;hl,,p1,,,,,,,Primitive does nothing. Used for load-store operations
,phi     ,,,,x,empty   ,,,,    ,,,,,,,Dummy which does nothing
,funccall,,,,x,proccall,,,,    ,,,,,,,Function call
;Validation routines,,,,,,,,,,,,,,,,,
;,x,,,,x,c_overflow,,,,,,,,,,,Overflow error if carry true
;,x,,,,x,m_overflow,,,,,,,,,,,Overflow if sign flag is negative (high bit set)
,x,,,,x,b7sov,,,,p1,f,,,,,,Overflow if bit 7 set
,x,,,,x,b15sov,,,,p1,f,,,,,,Overflow if bit 15 set
;Assignment from immediate data - these routines both read the source data and store it to the destination.,,,,,,,,,,,,,,,,,
;Thus the 'Dest' column says 'none' - we don't want the code generator also generating store code,,,,,,,,,,,,,,,,,
,storeimm,x8     ,,x8     ,n,assign_abs8_imm8       ,deststaticvar,i,,none,a  ,,,,,,Assigns an immediate 8 bit value (constant) (Validation done by parser!)
,storeimm,x8     ,,x8     ,n,assign_rel8_imm8       ,destrelvar,i,,none,   ,,,,,,Assigns an immediate 8 bit value (constant) (Validation done by parser!)
,storeimm,x8     ,,boolean,n,assign_abs8_imm8       ,deststaticvar,i,,none,a  ,,,,,,Assigns an immediate 8 bit value (constant) (Validation done by parser!)
,storeimm,x8     ,,boolean,n,assign_rel8_imm8       ,destrelvar,i,,none,   ,,,,,,
,storeimm,x8     ,,s16    ,n,proc_assign_abss16_imm8,deststaticvar,i,,none,a;f,,,,,,Zero extends to 16 bits
,storeimm,s8     ,,s16    ,n,proc_assign_rels16_imm8,destrelvar,i,,none,   ,,,,,,Extends an x8 constant to x16
,storeimm,x8     ,,x16    ,n,assign_abs16_imm8      ,deststaticvar,i,,none,a  ,,,,,,Zero extends to 16 bits
,storeimm,x8     ,,x16    ,n,assign_rel16_imm8      ,destrelvar,i,,none,   ,,,,,,Zero extends to 16 bits
,storeimm,x16    ,,x16    ,n,assign_abs16_imm16     ,deststaticvar,i,,none,a  ,,,,,,Assigns an immediate 16 bit value (validation done by parser!)
,storeimm,x16    ,,x16    ,n,assign_rel16_imm16     ,destrelvar,i,,none,   ,,,,,,Assigns an immediate 16 bit value (validation done by parser!)
,storeimm,x16    ,,x8     ,n,assign_abs8_imm8       ,deststaticvar,i,,none,a  ,,,,,,Shorten a 16 bit immediate to an 8 bit (validated by parser)
,storeimm,x16    ,,x8     ,n,assign_rel8_imm8       ,destrelvar,i,,none,   ,,,,,,Shorten a 16 bit immediate to an 8 bit (validated by parser)
,storeimm,boolean,,boolean,n,assign_abs8_imm8       ,deststaticvar,i,,none,a  ,,,,,,
,storeimm,boolean,,boolean,n,assign_rel8_imm8       ,destrelvar,i,,none,   ,,,,,,
;,Assignment,,,,,,,,,,,,,,,,
;,assign,u8     ,,       ,x,empty                  ,,b;c;d;e;h;l;a,,p1,,,,,,,Assigning from a U8
;,assign,s8     ,,       ,x,empty                  ,,b;c;d;e;h;l;a,,p1,,,,,,,Assigning from an S8
;,assign,u16    ,,       ,x,empty                  ,,hl;de;bc     ,,p1,,,,,,,Assigning from a U16
;,assign,s16    ,,       ,x,empty                  ,,hl;de;bc     ,,p1,,,,,,,Assigning from an S16
;,assign,u8     ,,,x,push_byte_a,,a,,stackbyte,,,,,,,Pushing a byte to the stack
;,assign,s8,,,x,push_byte_a,,a,,stackbyte,,,,,,,Pushing a byte to the stack
;,assign,u16,,,x,push_word,,hl;de;bc     ,,stack,,,,,,,Pushing a word to the stack
;,assign,s16,,,x,push_word,,hl;de;bc     ,,stack,,,,,,,Pushing a word to the stack
;,,,,,,,,,,,,,,,,,
;,branch,,,,,branch,,,,,,,,,,,Conditional or unconditional
,condbranch,boolean,,branch,x,atozf,,a,,zf,f,,,,,,Conditional branch
;,phi,,,,,phi,,,,,,,,,,,Ignored
;,,,,,,,,,,,,,,,,,
;,Maths,,,,,,,,,,,,,,,,
;,add,u8,,,x,add8ri,,a,i,a,a;f,c_overflow,m_overflow,,,,
;,add,u8,,,x,add8rr,,a,a;b;c;d;e;h;l,a,a;f,c_overflow,m_overflow,,,,
;,add,s8,,,x,add8ri,,a,i,a,a;f,pe_overflow,,m_overflow,,m_overflow,
;,add,s8,,,x,add8rr,,a,a;b;c;d;e;h;l,a,a;f,pe_overflow,,m_overflow,,m_overflow,
;,add,u16,,s16,y,addx16y,,hl,hl;de;bc,hl,h;l;f,c_overflow,,,m_overflow,,"Uses ADC HL,ss which does set sign flag"
;,add,u16,,,x,addx16n,,hl,hl;de;bc,hl,h;l;f,c_overflow,,,,,"Uses ADD HL,ss which doesn't set flags needed for conversions, but is faster"
;,add,s16,,,y,addx16y,,hl,hl;de;bc,hl,h;l;f,pe_overflow,,,,m_overflow,"Uses ADC HL,ss which sets all flags"
;,add,s16,,,n,addx16n,,hl,hl;de;bc,hl,h;l;f,,,,,,"Uses ADD HL,ss"
;,add,m16s16,,,n,addx16n,,hl,hl;de;bc,hl,h;l;f,,,,,,"Uses ADD HL,ss"
;,add,m16u16,,,n,addx16n,,hl,hl;de;bc,hl,h;l;f,,,,,,"Uses ADD HL,ss"
;,add,m16s16,s,,y,:add_m16_s16_raise_errors,,hl,de,hl,h;l;f,empty,,,,,"First param is the S16, output is s16"
;,add,m16s16,u,,y,:add_m16_s16_raise_errors,,de,hl,hl,h;l;f,empty,,,,,"First param is the u16, output is s16"
